City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Breves,BR,75.33,light rain,-1.6822,-50.4803,Hotel e Restaurante Grill
441,Vao,NC,75.97,light rain,-22.6667,167.4833,Hotel Kou-Bugny
443,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
446,Linguere,SN,77.22,clear sky,15.3953,-15.1193,AYO Casablanca
449,Tete,MZ,78.96,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
453,Port-Gentil,GA,79.56,light rain,-0.7193,8.7815,Fengshui Residence
456,Sorong,ID,82.96,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
469,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
470,Piacabucu,BR,77.14,light rain,-10.4056,-36.4344,Piaçabuçu News
485,Tiruchchendur,IN,80.38,overcast clouds,8.4833,78.1167,Hotel Udhayam International
489,Sao Jose Do Campestre,BR,81.16,broken clouds,-6.3156,-35.7139,Saida Para Tangara Rn
490,Lethem,GY,79.68,overcast clouds,3.3803,-59.7968,Savannah Inn
498,Manggar,ID,78.42,moderate rain,-2.8833,108.2667,Guest Hotel
501,Dingle,PH,79.43,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
521,Langsa,ID,76.53,scattered clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
522,Lumajang,ID,75.61,overcast clouds,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
523,Vung Tau,VN,76.48,overcast clouds,10.346,107.0843,Green hotel
532,Takoradi,GH,80.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
534,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
535,Mana,GF,77.05,overcast clouds,5.6592,-53.7767,LE SAMANA
536,Codrington,AU,77.23,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
538,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
543,Iracoubo,GF,76.87,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
548,Mogadishu,SO,78.6,few clouds,2.0371,45.3438,Hotel Juba
553,Kavaratti,IN,80.71,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
556,Nuevitas,CU,76.62,overcast clouds,21.5453,-77.2644,Hotel Caonaba
559,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
562,Mackay,AU,88.68,scattered clouds,-21.15,149.2,International Lodge Motel
563,Maryborough,AU,76.1,light rain,-25.5333,152.7,Blue Shades Motel
564,Nisia Floresta,BR,82.78,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
566,Gigmoto,PH,79.23,overcast clouds,13.7796,124.39,Cj's Travellers Inn
567,Waingapu,ID,83.98,light rain,-9.6567,120.2641,Pondok Wisata Elim
571,Buala,SB,78.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
574,San Miguel,SV,79.68,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
577,Irituia,BR,76.5,overcast clouds,-1.7711,-47.4381,Hotel Irituia
579,Ciudad Bolivar,VE,79.48,few clouds,8.1222,-63.5497,Hotel Edi
582,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
586,Lafiagi,NG,78.1,overcast clouds,8.8667,5.4167,Bus group international
588,Wajir,KE,76.64,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
599,Kandrian,PG,86.45,overcast clouds,-6.2167,149.55,Kandrian Station
604,Salinopolis,BR,79.74,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
607,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
608,Balabac,PH,83.1,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
617,Galle,LK,77.02,scattered clouds,6.0367,80.217,Amangalla
618,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
621,Trairi,BR,81.37,broken clouds,-3.2778,-39.2689,janelas do mar
628,Payo,ID,77.29,overcast clouds,-3.7508,103.6372,Mess keban agung
629,Natagaima,CO,77.32,overcast clouds,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
631,Pedernales,DO,78.87,overcast clouds,18.0384,-71.744,Hotel Costa Marina
638,Acapulco,MX,78.91,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
639,Mitsamiouli,KM,80.65,few clouds,-11.3847,43.2844,Foyer ADM
648,Denpasar,ID,78.46,moderate rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
654,Coahuayana,MX,75.7,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
657,Coruripe,BR,76.91,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
658,Coolum Beach,AU,80.11,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
668,Nanakuli,US,75.04,light rain,21.3906,-158.1547,Camp Pālehua
670,Tevaitoa,PF,81.18,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
680,Tulum,MX,76.98,few clouds,20.2167,-87.4667,Kin Ha Tulum
685,Mattru,SL,75.31,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
686,Santa Marta,CO,84.25,few clouds,11.2408,-74.199,Casa de Isabella
