City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Padang,ID,2021-11-28 22:10:00,-0.9492,100.3543,75.7,88,96,2.46
153,Husavik,IS,2021-11-28 22:13:52,66.0449,-17.3389,30.11,95,100,3.76
154,Clemencia,CO,2021-11-28 22:13:52,10.5665,-75.325,87.17,82,100,11.01
155,Zhangjiakou,CN,2021-11-28 22:13:53,40.81,114.8794,29.77,61,100,5.79
156,Touros,BR,2021-11-28 22:13:53,-5.1989,-35.4608,83.3,78,49,11.18
157,North Bend,US,2021-11-28 22:13:54,43.4065,-124.2243,57.11,88,90,6.91
158,Kandrian,PG,2021-11-28 22:13:54,-6.2167,149.55,82.47,77,100,0.49
159,Cherskiy,RU,2021-11-28 22:13:55,68.75,161.3,-13.92,99,100,6.51
160,Machakos,KE,2021-11-28 22:13:55,-1.5167,37.2667,62.55,91,79,2.98
161,Coihaique,CL,2021-11-28 22:13:03,-45.5752,-72.0662,57.15,51,75,11.5
162,Paamiut,GL,2021-11-28 22:13:56,61.994,-49.6678,38.08,91,100,24.47
163,Concepcion Del Oro,MX,2021-11-28 22:13:56,24.6333,-101.4167,61.72,40,64,10.29
164,Shitkino,RU,2021-11-28 22:13:57,56.3703,98.3543,21.87,91,100,14.43
165,Qaqortoq,GL,2021-11-28 22:09:02,60.7167,-46.0333,36.1,97,100,10.58
166,Luoyang,CN,2021-11-28 22:13:58,34.6836,112.4536,45.91,61,78,5.66
167,Aykhal,RU,2021-11-28 22:13:58,66.0,111.5,-13.07,99,100,3.09
168,Vila Franca Do Campo,PT,2021-11-28 22:13:59,37.7167,-25.4333,59.41,66,94,5.06
169,Usinsk,RU,2021-11-28 22:13:59,65.9939,57.5281,12.61,95,100,12.66
170,Dalaba,GN,2021-11-28 22:14:00,10.7,-12.25,66.49,65,7,0.49
171,Bubaque,GW,2021-11-28 22:14:00,11.2833,-15.8333,83.3,69,76,15.95
172,Blackwater,AU,2021-11-28 22:14:00,-23.5833,148.8833,78.08,72,93,13.04
173,Saryagash,KZ,2021-11-28 22:14:01,41.4511,69.1701,39.16,28,80,4.94
174,Maun,BW,2021-11-28 22:14:01,-19.9833,23.4167,71.56,78,0,3.44
175,Krasnoselkup,RU,2021-11-28 22:14:02,65.7,82.4667,-19.93,100,76,5.44
176,Tura,IN,2021-11-28 22:10:17,25.5198,90.2201,58.93,61,5,3.51
177,Juneau,US,2021-11-28 22:14:02,58.3019,-134.4197,32.0,69,75,5.75
178,Vaitape,PF,2021-11-28 22:14:03,-16.5167,-151.75,81.54,73,100,10.42
179,Puerto Ayora,EC,2021-11-28 22:14:04,-0.7393,-90.3518,76.96,81,83,10.36
180,Ardon,RU,2021-11-28 22:14:04,43.17,44.29,34.79,65,88,1.72
181,Bambous Virieux,MU,2021-11-28 22:14:04,-20.3428,57.7575,73.65,83,40,3.44
182,Envira,BR,2021-11-28 22:14:05,-7.3,-70.2167,75.83,94,100,5.84
183,Lavrentiya,RU,2021-11-28 22:14:05,65.5833,-171.0,-13.02,91,3,6.93
184,Rocha,UY,2021-11-28 22:14:06,-34.4833,-54.3333,65.14,93,100,4.68
185,Hamilton,US,2021-11-28 22:10:31,39.1834,-84.5333,44.04,33,1,11.5
186,Fortuna,US,2021-11-28 22:15:06,40.5982,-124.1573,53.94,100,90,0.0
187,Amga,RU,2021-11-28 22:15:07,60.8953,131.9608,-3.53,96,100,5.19
188,Gumdag,TM,2021-11-28 22:15:07,39.2061,54.5906,49.71,38,12,13.98
189,Salalah,OM,2021-11-28 22:15:08,17.0151,54.0924,73.49,78,0,1.14
190,Neftekamsk,RU,2021-11-28 22:15:08,56.092,54.2703,29.53,96,100,11.18
191,Mayo,US,2021-11-28 22:14:08,38.8876,-76.5119,48.61,71,1,0.0
192,Asosa,ET,2021-11-28 22:15:09,10.0667,34.5333,70.32,44,50,3.47
193,Sharjah,AE,2021-11-28 22:14:55,25.3573,55.4033,75.18,64,0,6.91
194,Leningradskiy,RU,2021-11-28 22:15:10,69.3833,178.4167,-20.9,94,90,11.63
195,Bilibino,RU,2021-11-28 22:15:10,68.0546,166.4372,0.45,98,98,2.77
196,Derzhavinsk,KZ,2021-11-28 22:15:11,51.1,66.3167,8.49,78,100,5.84
197,Thompson,CA,2021-11-28 22:15:11,55.7435,-97.8558,1.56,85,40,0.0
198,Albania,AL,2021-11-28 22:15:12,41.0,20.0,60.19,90,100,12.91
199,Cambridge,CA,2021-11-28 22:15:12,43.3601,-80.3127,31.39,93,90,3.44
200,Keelung,TW,2021-11-28 22:15:13,25.1283,121.7419,71.74,90,99,15.32
201,Kruisfontein,ZA,2021-11-28 22:15:13,-34.0033,24.7314,62.69,78,3,16.75
202,Narsaq,GL,2021-11-28 22:15:13,60.9167,-46.05,35.82,99,100,2.98
203,Kisangani,CD,2021-11-28 22:15:14,0.5167,25.2,71.26,98,100,1.05
204,Hambantota,LK,2021-11-28 22:14:14,6.1241,81.1185,76.71,88,99,6.31
205,Ulladulla,AU,2021-11-28 22:15:15,-35.35,150.4667,62.64,61,88,2.33
206,Karratha,AU,2021-11-28 22:15:15,-20.7377,116.8463,81.59,60,28,2.95
207,Skibbereen,IE,2021-11-28 22:15:15,51.55,-9.2667,48.0,86,100,8.5
208,Pucara,PE,2021-11-28 22:15:16,-15.9803,-71.4606,39.33,65,99,11.95
209,Havre-Saint-Pierre,CA,2021-11-28 22:15:16,50.2334,-63.5986,35.6,75,90,13.8
210,Bathsheba,BB,2021-11-28 22:15:17,13.2167,-59.5167,81.21,78,20,12.66
211,Rudbar,AF,2021-11-28 22:15:17,30.15,62.6,58.53,27,100,6.55
212,Canmore,CA,2021-11-28 22:15:18,51.0834,-115.3521,50.49,100,76,5.75
213,Daru,PG,2021-11-28 22:15:18,-9.0763,143.2092,83.25,71,89,3.98
214,Kaeo,NZ,2021-11-28 22:15:19,-35.1,173.7833,70.3,62,100,3.91
215,Gemena,CD,2021-11-28 22:15:19,3.25,19.7667,74.46,45,90,0.29
216,Broome,US,2021-11-28 22:15:19,42.2506,-75.833,32.77,100,90,8.05
217,Viedma,AR,2021-11-28 22:15:20,-40.8135,-62.9967,72.36,27,0,8.9
218,Shimoda,JP,2021-11-28 22:15:20,34.6667,138.95,50.43,61,53,4.18
219,Sangar,RU,2021-11-28 22:15:21,63.9242,127.4739,-8.5,99,100,1.25
220,Saint George,US,2021-11-28 22:15:22,37.1041,-113.5841,77.47,19,1,3.44
221,Paracuru,BR,2021-11-28 22:15:22,-3.41,-39.0306,82.42,77,23,11.7
222,Kamenka,RU,2021-11-28 22:12:04,51.3223,42.7678,41.14,95,100,8.25
223,Asfi,MA,2021-11-28 22:15:23,32.2994,-9.2372,56.8,58,0,17.9
224,Zig,US,2021-11-28 22:15:23,40.127,-92.7663,44.89,31,1,6.91
225,Hithadhoo,MV,2021-11-28 22:15:23,-0.6,73.0833,81.27,76,66,17.36
226,Harker Heights,US,2021-11-28 22:10:52,31.0835,-97.6597,69.35,32,1,9.22
227,Killybegs,IE,2021-11-28 22:15:24,54.6333,-8.45,44.06,70,83,2.19
228,Roald,NO,2021-11-28 22:15:25,62.5833,6.1333,26.74,74,20,12.66
229,Qui Nhon,VN,2021-11-28 22:15:25,13.7667,109.2333,76.32,91,100,4.81
230,Port-Cartier,CA,2021-11-28 22:14:21,50.0334,-66.8654,30.31,66,100,13.04
231,Wittlich,DE,2021-11-28 22:15:26,49.9833,6.8833,36.14,86,75,3.44
232,Okhotsk,RU,2021-11-28 22:16:26,59.3833,143.3,-7.62,86,12,18.86
233,Vega De Alatorre,MX,2021-11-28 22:16:27,20.0333,-96.6333,75.49,78,98,12.88
234,Pivka,SI,2021-11-28 22:16:27,45.6829,14.1959,35.56,96,97,4.05
235,Barda,AZ,2021-11-28 22:16:28,40.3744,47.1267,51.96,59,34,1.72
236,Bonoua,CI,2021-11-28 22:16:28,5.2741,-3.595,78.42,85,97,4.85
237,Mega,ET,2021-11-28 22:16:29,4.05,38.3,61.45,75,96,6.13
238,Iberia,US,2021-11-28 22:16:29,29.9502,-91.7507,66.27,55,75,5.75
239,Novoagansk,RU,2021-11-28 22:16:29,61.9449,76.6625,8.67,94,100,6.24
240,Ludza,LV,2021-11-28 22:16:30,56.55,27.7167,31.51,96,100,1.95
241,Sept-Iles,CA,2021-11-28 22:15:24,50.2001,-66.3821,30.72,69,75,9.22
242,Nouadhibou,MR,2021-11-28 22:16:31,20.931,-17.0347,66.18,77,100,24.16
243,Olafsvik,IS,2021-11-28 22:16:31,64.8945,-23.7142,39.6,94,98,12.57
244,Tabou,CI,2021-11-28 22:16:31,4.423,-7.3528,79.34,82,32,6.51
245,Harper,LR,2021-11-28 22:16:32,4.375,-7.7169,79.27,81,66,5.75
246,Savannah Bight,HN,2021-11-28 22:16:32,16.45,-85.85,80.65,68,60,7.23
247,Urusha,RU,2021-11-28 22:16:33,54.05,122.9,-4.54,94,25,2.21
248,Nizwa,OM,2021-11-28 22:16:33,22.9333,57.5333,67.17,46,0,2.82
249,Gorontalo,ID,2021-11-28 22:16:34,0.5412,123.0595,75.16,96,100,3.24
250,Colquechaca,BO,2021-11-28 22:16:34,-18.6667,-66.0167,44.17,62,78,8.14
251,Arman,RU,2021-11-28 22:16:35,59.7,150.1667,11.55,93,100,3.11
252,Port Hardy,CA,2021-11-28 22:16:35,50.6996,-127.4199,50.18,100,75,4.61
253,Pompeu,BR,2021-11-28 22:16:36,-19.2244,-44.9353,69.12,87,30,3.53
254,Gornopravdinsk,RU,2021-11-28 22:16:37,60.05,69.9,22.89,82,100,9.24
255,Karlovac,HR,2021-11-28 22:16:37,45.4872,15.5478,40.93,98,100,3.06
256,Oranjemund,NA,2021-11-28 22:16:37,-28.55,16.4333,62.74,89,93,3.89
257,Cabo San Lucas,MX,2021-11-28 22:12:04,22.8909,-109.9124,81.7,69,90,6.91
258,Inverness,GB,2021-11-28 22:16:38,57.4791,-4.224,33.78,93,73,6.91
259,Yar-Sale,RU,2021-11-28 22:16:38,66.8333,70.8333,-4.92,94,100,8.61
260,Manokwari,ID,2021-11-28 22:16:39,-0.8667,134.0833,79.56,78,100,2.84
261,Gari,RU,2021-11-28 22:16:39,59.4307,62.3497,27.64,82,98,12.97
262,Viransehir,TR,2021-11-28 22:16:40,37.2353,39.7631,52.68,73,3,5.26
263,Tuatapere,NZ,2021-11-28 22:16:40,-46.1333,167.6833,61.23,41,18,3.13
264,Port Macquarie,AU,2021-11-28 22:11:52,-31.4333,152.9167,67.91,74,95,5.61
265,Anori,BR,2021-11-28 22:16:41,-3.7728,-61.6442,81.41,76,99,0.65
266,Dong Hoi,VN,2021-11-28 22:15:25,17.4833,106.6,68.18,87,100,14.41
267,Mount Isa,AU,2021-11-28 22:16:42,-20.7333,139.5,80.37,26,72,12.66
268,Takhtamygda,RU,2021-11-28 22:16:42,54.1,123.5667,-3.82,96,10,1.61
269,Guadalupe Victoria,MX,2021-11-28 22:16:43,32.2869,-115.105,81.68,7,0,9.22
270,Tautira,PF,2021-11-28 22:16:43,-17.7333,-149.15,80.62,80,93,19.01
271,Rio Branco Do Sul,BR,2021-11-28 22:16:44,-25.19,-49.3142,79.12,61,98,0.16
272,Iqaluit,CA,2021-11-28 22:16:44,63.7506,-68.5145,24.53,68,90,14.97
273,Omboue,GA,2021-11-28 22:16:45,-1.5746,9.2618,77.4,87,79,6.4
274,Mattru,SL,2021-11-28 22:16:45,7.6244,-11.8332,75.2,94,54,2.48
275,Kununurra,AU,2021-11-28 22:15:51,-15.7667,128.7333,82.38,78,58,1.14
276,Berdigestyakh,RU,2021-11-28 22:16:46,62.0989,126.6992,-8.66,100,98,4.23
277,Ko Samui,TH,2021-11-28 22:17:47,9.5357,99.9357,80.58,80,97,19.33
278,Puerto Escondido,MX,2021-11-28 22:17:47,15.85,-97.0667,86.83,62,40,5.75
279,Acapulco,MX,2021-11-28 22:17:48,16.8634,-99.8901,85.82,66,75,5.75
280,Sauce,UY,2021-11-28 22:17:48,-34.6469,-56.0628,67.62,96,100,2.19
281,Aklavik,CA,2021-11-28 22:17:49,68.2191,-135.0107,-12.17,87,100,18.1
282,Manggar,ID,2021-11-28 22:17:49,-2.8833,108.2667,79.2,84,100,10.92
283,Amapa,BR,2021-11-28 22:17:50,1.0,-52.0,74.16,97,100,2.64
284,Severo-Kurilsk,RU,2021-11-28 22:17:50,50.6789,156.125,33.53,87,100,18.48
285,Mapiri,BO,2021-11-28 22:17:51,-15.25,-68.1667,75.61,87,100,2.57
286,Rivadavia,AR,2021-11-28 22:17:51,-33.1905,-68.4608,79.27,20,0,6.29
287,Koslan,RU,2021-11-28 22:17:51,63.4564,48.8989,20.62,97,100,3.33
288,Sayat,TM,2021-11-28 22:17:52,38.7839,63.8803,37.27,53,0,8.59
289,Sitka,US,2021-11-28 22:14:13,57.0531,-135.33,37.29,60,90,20.71
290,Benguela,AO,2021-11-28 22:17:53,-12.5763,13.4055,75.92,81,94,4.0
291,Sadovo,BG,2021-11-28 22:17:54,42.1333,24.9333,48.76,93,20,8.05
292,Hasaki,JP,2021-11-28 22:17:55,35.7333,140.8333,34.2,47,3,2.28
293,Beloha,MG,2021-11-28 22:17:55,-25.1667,45.05,64.0,66,3,15.5
294,Mecca,SA,2021-11-28 22:17:56,21.4267,39.8261,77.99,54,0,0.6
295,Caucaia,BR,2021-11-28 22:17:56,-3.7361,-38.6531,82.35,78,20,10.36
