City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Sarai,RU,53.7458,41.0213,26.94,75,94,4.07,overcast clouds
200,Khatanga,RU,71.9667,102.5,-17.64,99,100,6.53,overcast clouds
201,Kemijarvi,FI,66.7131,27.4306,-0.27,98,28,3.4,scattered clouds
202,Cedar City,US,37.6775,-113.0619,52.77,24,1,8.05,clear sky
203,Karasjok,NO,69.4719,25.5112,-0.29,95,15,5.84,few clouds
204,Odweyne,SO,9.4092,45.064,60.73,56,18,2.82,few clouds
205,Kargasok,RU,59.0556,80.8572,29.97,97,100,9.08,light snow
206,Covasint,RO,46.2,21.6,42.87,90,100,3.89,overcast clouds
207,Porbandar,IN,21.6422,69.6093,71.58,56,0,10.25,clear sky
208,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,19,16.84,light rain
209,Vila Velha,BR,-20.3297,-40.2925,76.95,88,40,8.01,scattered clouds
210,Kassala,SD,15.451,36.4,73.87,56,0,7.43,clear sky
211,Pacific Grove,US,36.6177,-121.9166,61.61,85,40,1.99,scattered clouds
212,Labuhan,ID,-6.8844,112.2051,80.04,77,100,6.98,moderate rain
213,Nova Soure,BR,-11.2333,-38.4833,73.13,92,40,8.14,scattered clouds
214,Mehriz,IR,31.5917,54.4318,41.5,25,100,5.73,overcast clouds
215,Sisimiut,GL,66.9395,-53.6735,27.0,69,100,35.43,overcast clouds
216,Ust-Karsk,RU,52.7011,118.8077,4.12,92,16,4.14,few clouds
217,Tecoanapa,MX,16.5167,-98.75,79.47,77,0,8.12,clear sky
218,Karratha,AU,-20.7377,116.8463,96.73,20,26,16.51,scattered clouds
219,Talnakh,RU,69.4865,88.3972,-16.8,99,100,13.65,snow
220,Maues,BR,-3.3836,-57.7186,76.53,81,23,2.64,few clouds
221,Eenhana,NA,-17.4667,16.3333,68.63,77,70,9.75,broken clouds
222,Ayame,CI,5.6083,-3.1563,75.79,93,32,1.81,scattered clouds
223,Vila,PT,42.0304,-8.1588,42.33,85,81,2.28,broken clouds
224,Galesong,ID,-5.3166,119.3661,75.22,93,100,5.28,moderate rain
225,Ayna,PE,-12.65,-73.9167,59.56,92,100,1.03,overcast clouds
226,Kuala Terengganu,MY,5.3302,103.1408,75.15,94,20,1.14,few clouds
227,Salalah,OM,17.0151,54.0924,75.29,33,0,11.5,clear sky
228,Samarai,PG,-10.6167,150.6667,84.07,72,100,9.98,overcast clouds
229,Maniitsoq,GL,65.4167,-52.9,27.18,57,100,35.34,overcast clouds
230,Oktyabrskiy,RU,54.4815,53.471,24.82,93,60,3.65,broken clouds
231,Nago,JP,26.5881,127.9761,73.47,68,5,16.22,clear sky
232,Lompoc,US,34.6391,-120.4579,69.94,80,1,10.36,clear sky
233,Tasiilaq,GL,65.6145,-37.6368,29.32,93,100,19.8,snow
234,Flinders,AU,-34.5833,150.8552,73.18,66,100,6.53,overcast clouds
235,Damghan,IR,36.1683,54.348,37.62,50,6,2.42,clear sky
236,Lavrentiya,RU,65.5833,-171.0,29.23,97,100,18.39,snow
237,New Norfolk,AU,-42.7826,147.0587,68.92,51,89,8.34,overcast clouds
238,Havelock,US,34.8791,-76.9013,60.78,86,47,2.59,scattered clouds
239,Ostrovnoy,RU,68.0531,39.5131,10.45,74,88,23.42,overcast clouds
240,Sukumo,JP,32.9333,132.7333,55.87,65,100,2.44,overcast clouds
241,Salamiyah,SY,35.0113,37.0532,49.68,55,0,1.63,clear sky
242,Tawang,IN,27.5833,91.8667,38.86,71,33,4.59,scattered clouds
243,Anloga,GH,5.7947,0.8973,82.62,81,67,11.92,broken clouds
244,Hamilton,US,39.1834,-84.5333,60.19,91,90,1.99,overcast clouds
245,Chanute,US,37.6792,-95.4572,64.51,45,1,11.5,clear sky
246,Rio Gallegos,AR,-51.6226,-69.2181,57.25,33,0,12.66,clear sky
247,Meulaboh,ID,4.1363,96.1285,78.12,81,72,3.56,broken clouds
248,Hasaki,JP,35.7333,140.8333,50.4,60,100,12.21,overcast clouds
249,Mahebourg,MU,-20.4081,57.7,77.29,78,40,6.91,light rain
250,Longyearbyen,SJ,78.2186,15.6401,17.44,73,75,9.22,light snow
251,Mount Gambier,AU,-37.8333,140.7667,75.11,31,27,10.36,scattered clouds
